name,price,url,beds,baths,sqft,year_built,hoa
"498 W Gail Dr, Chandler, AZ 85225",475000,https://www.redfin.com/AZ/Chandler/498-W-Gail-Dr-85225/home/27268496,4 beds,2 baths,2583 sq. ft.,1970,
"462 N Bedford Ct, Chandler, AZ 85225",600000,https://www.redfin.com/AZ/Chandler/462-N-Bedford-Ct-85225/home/27634913,4 beds,2 baths,2554 sq. ft.,1993,
"2741 E San Tan St, Chandler, AZ 85225",675000,https://www.redfin.com/AZ/Chandler/2741-E-San-Tan-St-85225/home/27064593,4 beds,3 baths,2788 sq. ft.,1999,$58/mo
"2527 E Remington Pl, Chandler, AZ 85286",615000,https://www.redfin.com/AZ/Chandler/2527-E-Remington-Pl-85286/home/28065603,5 beds,3 baths,2815 sq. ft.,2004,$67/mo
"1643 E Oakland St, Chandler, AZ 85225",480000,https://www.redfin.com/AZ/Chandler/1643-E-Oakland-St-85225/home/28010231,3 beds,2 baths,1575 sq. ft.,1995,
"11143 E Vallejo St, Chandler, AZ 85248",998000,https://www.redfin.com/AZ/Chandler/11143-E-Vallejo-St-85248/home/27047124,4 beds,2.5 baths,2885 sq. ft.,1978,
"2041 E Palm Beach Dr, Chandler, AZ 85249",879000,https://www.redfin.com/AZ/Chandler/2041-E-Palm-Beach-Dr-85249/home/27839783,5 beds,3 baths,2997 sq. ft.,2001,$43/mo
"2230 E Whitten St, Chandler, AZ 85225",687500,https://www.redfin.com/AZ/Chandler/2230-E-Whitten-St-85225/home/28184566,4 beds,2 baths,2478 sq. ft.,2000,$45/mo
"1165 E Ivanhoe St, Chandler, AZ 85225",390000,https://www.redfin.com/AZ/Chandler/1165-E-Ivanhoe-St-85225/home/27768973,2 beds,2 baths,1036 sq. ft.,1985,$30/mo
"4667 E County Down Dr, Chandler, AZ 85249",509000,https://www.redfin.com/AZ/Chandler/4667-E-County-Down-Dr-85249/home/28053179,3 beds,2 baths,1952 sq. ft.,2004,$65/mo
"1263 W Del Rio St, Chandler, AZ 85224",475000,https://www.redfin.com/AZ/Chandler/1263-W-Del-Rio-St-85224/home/27601753,4 beds,2 baths,1796 sq. ft.,1976,
"2461 E Stephens Pl, Chandler, AZ 85225",800000,https://www.redfin.com/AZ/Chandler/2461-E-Stephens-Pl-85225/home/28226068,4 beds,3.5 baths,3460 sq. ft.,1998,$58/mo
"742 E Kingbird Dr, Gilbert, AZ 85297",725000,https://www.redfin.com/AZ/Gilbert/742-E-Kingbird-Dr-85297/home/27777020,4 beds,3 baths,3136 sq. ft.,2007,$73/mo
"1621 N Chippewa Dr, Chandler, AZ 85224",525000,https://www.redfin.com/AZ/Chandler/1621-N-Chippewa-Dr-85224/home/28250389,3 beds,2.5 baths,1625 sq. ft.,1986,$38/mo
"4812 W Butler Dr, Chandler, AZ 85226",665000,https://www.redfin.com/AZ/Chandler/4812-W-Butler-Dr-85226/home/27994748,4 beds,2 baths,1759 sq. ft.,1985,
"1610 N Apache Dr, Chandler, AZ 85224",494999,https://www.redfin.com/AZ/Chandler/1610-N-Apache-Dr-85224/home/27845343,3 beds,2.5 baths,1673 sq. ft.,1985,$42/mo
"4608 W Gail Dr, Chandler, AZ 85226",512500,https://www.redfin.com/AZ/Chandler/4608-W-Gail-Dr-85226/home/27743369,4 beds,2 baths,1307 sq. ft.,1983,
"4525 E Runaway Bay Dr, Chandler, AZ 85249",640000,https://www.redfin.com/AZ/Chandler/4525-E-Runaway-Bay-Dr-85249/home/28345736,3 beds,2 baths,2309 sq. ft.,2002,$65/mo
"856 N Evergreen St, Chandler, AZ 85225",415000,https://www.redfin.com/AZ/Chandler/856-N-Evergreen-St-85225/home/27143208,3 beds,2 baths,1326 sq. ft.,1961,
"6923 W Laredo St, Chandler, AZ 85226",629999,https://www.redfin.com/AZ/Chandler/6923-W-Laredo-St-85226/home/27750748,5 beds,2.5 baths,2665 sq. ft.,1996,$55/mo
"630 W Saragosa St, Chandler, AZ 85225",775000,https://www.redfin.com/AZ/Chandler/630-W-Saragosa-St-85225/home/28249055,4 beds,3 baths,2716 sq. ft.,1989,$40/mo
"6922 S Black Hills Way, Chandler, AZ 85249",735000,https://www.redfin.com/AZ/Chandler/6922-S-Black-Hills-Way-85249/home/28112836,5 beds,4 baths,3753 sq. ft.,2005,$65/mo
"3994 E Grand Canyon Pl, Chandler, AZ 85249",668000,https://www.redfin.com/AZ/Chandler/3994-E-Grand-Canyon-Pl-85249/home/27818647,3 beds,2 baths,2569 sq. ft.,2008,$47/mo
"3220 W Frankfurt Dr, Chandler, AZ 85226",689995,https://www.redfin.com/AZ/Chandler/3220-W-Frankfurt-Dr-85226/home/27563938,4 beds,2 baths,2079 sq. ft.,1990,$60/mo
